date,start_time,end_time,time_in_bucket,substrate,direction,trigger,substrate_temp,snake_temp,camera,sp_code,detection
11/04/2021,11:19,11:29,60,lid,forward,",motion,heat,",21.1,21.5,covert_a,STOCC,0
11/04/2021,11:19,11:29,60,lid,forward,",motion,heat,",21.1,21.5,covert_a,STOCC,0
11/04/2021,11:19,11:29,55,lid,forward,",motion,heat,",21.1,21.5,covert_a,STOCC,0
11/04/2021,11:19,11:29,60,lid,forward,",motion,heat,",21.1,21.5,covert_a,STOCC,0
11/04/2021,11:19,11:29,60,lid,forward,",motion,heat,",21.1,21.5,covert_a,STOCC,1
11/04/2021,11:34,11:43,180,lid,forward,",motion,heat,",21.1,25.1,covert_a,LAGET,1
11/04/2021,11:34,11:43,90,lid,forward,",motion,heat,",21.1,24.7,covert_a,LAGET,1
11/04/2021,11:34,11:43,35,lid,forward,",motion,heat,",21.1,24.4,covert_a,LAGET,1
11/04/2021,11:34,11:43,70,lid,forward,",motion,heat,",21.1,24,covert_a,LAGET,1
11/04/2021,11:34,11:43,23,lid,forward,",motion,heat,",21.1,23.7,covert_a,LAGET,1
11/04/2021,11:46,11:53,37,lid,forward,",motion,heat,",21.5,22.8,covert_a,PAALL,0
11/04/2021,11:46,11:53,49,lid,forward,",motion,heat,",21.5,21.3,covert_a,PAALL,1
11/04/2021,11:46,11:53,42,lid,forward,",motion,heat,",21.5,21.3,covert_a,PAALL,1
11/04/2021,11:46,11:53,60,lid,forward,",motion,heat,",21.5,21.8,covert_a,PAALL,0
11/04/2021,11:46,11:53,60,lid,forward,",motion,heat,",21.5,21.6,covert_a,PAALL,0
11/04/2021,11:56,12:01,5,lid,forward,",motion,heat,",20.7,21.1,covert_a,DIPUN,0
11/04/2021,11:56,12:01,60,lid,forward,",motion,heat,",20.7,21.7,covert_a,DIPUN,0
11/04/2021,11:56,12:01,10,lid,forward,",motion,heat,",20.7,21.5,covert_a,DIPUN,0
11/04/2021,11:56,12:01,5,lid,forward,",motion,heat,",20.7,21.5,covert_a,DIPUN,0
11/04/2021,11:56,12:01,4,lid,forward,",motion,heat,",20.7,21.5,covert_a,DIPUN,0
11/04/2021,12:04,12:22,180,lid,forward,",motion,heat,",20.5,22.1,covert_a,PAGUT,1
11/04/2021,12:04,12:22,300,lid,forward,",motion,heat,",20.5,22,covert_a,PAGUT,1
11/04/2021,12:04,12:22,90,lid,forward,",motion,heat,",20.5,22.2,covert_a,PAGUT,0
11/04/2021,12:04,12:22,220,lid,forward,",motion,heat,",20.5,21.9,covert_a,PAGUT,0
11/04/2021,12:04,12:22,75,lid,forward,",motion,heat,",20.5,21.9,covert_a,PAGUT,0
11/04/2021,12:51,12:57,36,lid,forward,",motion,heat,",20.7,21.1,reconyx_white,PAALL,1
11/04/2021,12:51,12:57,40,lid,forward,",motion,heat,",20.7,23.8,reconyx_white,PAALL,0
11/04/2021,12:51,12:57,35,lid,forward,",motion,heat,",20.7,21.8,reconyx_white,PAALL,0
11/04/2021,12:51,12:57,30,lid,forward,",motion,heat,",20.7,22.6,reconyx_white,PAALL,0
11/04/2021,12:51,12:57,40,lid,forward,",motion,heat,",20.7,21.2,reconyx_white,PAALL,0
11/04/2021,13:03,13:14,120,lid,forward,",motion,heat,",20.7,25.1,reconyx_white,LAGET,1
11/04/2021,13:03,13:14,80,lid,forward,",motion,heat,",20.7,24.7,reconyx_white,LAGET,1
11/04/2021,13:03,13:14,129,lid,forward,",motion,heat,",20.7,24,reconyx_white,LAGET,1
11/04/2021,13:03,13:14,80,lid,forward,",motion,heat,",20.7,23.8,reconyx_white,LAGET,1
11/04/2021,13:03,13:14,120,lid,forward,",motion,heat,",20.7,24,reconyx_white,LAGET,1
11/04/2021,13:17,13:29,83,lid,forward,",motion,heat,",21.1,22.7,reconyx_white,PAGUT,1
11/04/2021,13:17,13:29,187,lid,forward,",motion,heat,",21.1,22.3,reconyx_white,PAGUT,1
11/04/2021,13:17,13:29,110,lid,forward,",motion,heat,",21.1,22.3,reconyx_white,PAGUT,1
11/04/2021,13:17,13:29,60,lid,forward,",motion,heat,",21.1,22.3,reconyx_white,PAGUT,0
11/04/2021,13:17,13:29,100,lid,forward,",motion,heat,",21.1,22,reconyx_white,PAGUT,0
11/04/2021,13:38,13:52,180,lid,forward,",motion,heat,",20.5,21.3,reconyx_white,STOCC,0
11/04/2021,13:38,13:52,120,lid,forward,",motion,heat,",20.5,21.8,reconyx_white,STOCC,0
11/04/2021,13:38,13:52,120,lid,forward,",motion,heat,",20.5,21.4,reconyx_white,STOCC,1
11/04/2021,13:38,13:52,120,lid,forward,",motion,heat,",20.5,21.3,reconyx_white,STOCC,0
11/04/2021,13:38,13:52,120,lid,forward,",motion,heat,",20.5,20.7,reconyx_white,STOCC,0
11/04/2021,13:58,14:06,3,lid,forward,",motion,heat,",20.6,21.2,reconyx_white,DIPUN,0
11/04/2021,13:58,14:06,19,lid,forward,",motion,heat,",20.6,21.2,reconyx_white,DIPUN,0
11/04/2021,13:58,14:06,120,lid,forward,",motion,heat,",20.6,21.3,reconyx_white,DIPUN,1
11/04/2021,13:58,14:06,20,lid,forward,",motion,heat,",20.6,21.5,reconyx_white,DIPUN,1
11/04/2021,13:58,14:06,120,lid,forward,",motion,heat,",20.6,21.3,reconyx_white,DIPUN,0
11/05/2021,12:52,13:03,120,lid,forward,",motion,heat,",19.9,21.1,moultrie_b,STOCC,0
11/05/2021,12:52,13:03,120,lid,forward,",motion,heat,",19.9,19.8,moultrie_b,STOCC,0
11/05/2021,12:52,13:03,120,lid,forward,",motion,heat,",19.9,20.8,moultrie_b,STOCC,0
11/05/2021,12:52,13:03,90,lid,forward,",motion,heat,",19.9,20.7,moultrie_b,STOCC,0
11/05/2021,12:52,13:03,90,lid,forward,",motion,heat,",19.9,20,moultrie_b,STOCC,0
11/05/2021,13:16,13:25,30,lid,forward,",motion,heat,",20.5,20.5,moultrie_b,DIPUN,1
11/05/2021,13:16,13:25,30,lid,forward,",motion,heat,",20.5,20.5,moultrie_b,DIPUN,1
11/05/2021,13:16,13:25,120,lid,forward,",motion,heat,",20.5,20.5,moultrie_b,DIPUN,1
11/05/2021,13:16,13:25,22,lid,forward,",motion,heat,",20.5,21.2,moultrie_b,DIPUN,1
11/05/2021,13:16,13:25,120,lid,forward,",motion,heat,",20.5,20.6,moultrie_b,DIPUN,0
11/05/2021,15:00,15:07,130,lid,forward,",motion,heat,",20.5,20.5,moultrie_b,PAGUT,0
11/05/2021,15:00,15:07,90,lid,forward,",motion,heat,",20.5,20.3,moultrie_b,PAGUT,0
11/05/2021,15:00,15:07,100,lid,forward,",motion,heat,",20.5,20.3,moultrie_b,PAGUT,0
11/05/2021,15:00,15:07,35,lid,forward,",motion,heat,",20.5,20.5,moultrie_b,PAGUT,0
11/05/2021,15:00,15:07,40,lid,forward,",motion,heat,",20.5,20.5,moultrie_b,PAGUT,0
11/05/2021,13:30,13:34,25,lid,forward,",motion,heat,",20.4,20.5,moultrie_b,PAALL,1
11/05/2021,13:30,13:34,27,lid,forward,",motion,heat,",20.4,21.5,moultrie_b,PAALL,0
11/05/2021,13:30,13:34,24,lid,forward,",motion,heat,",20.4,20,moultrie_b,PAALL,0
11/05/2021,13:30,13:34,23,lid,forward,",motion,heat,",20.4,20,moultrie_b,PAALL,0
11/05/2021,13:30,13:34,25,lid,forward,",motion,heat,",20.4,19.6,moultrie_b,PAALL,0
11/05/2021,13:37,13:50,105,lid,forward,",motion,heat,",19.9,22.3,moultrie_b,LAGET,1
11/05/2021,13:37,13:50,85,lid,forward,",motion,heat,",19.9,23.4,moultrie_b,LAGET,1
